word1,word2,n,date
covid,virus,368,2021-12-24T00:00:00Z
min,yoongi,368,2021-12-24T00:00:00Z
positif,covid,368,2021-12-24T00:00:00Z
survival,rate,367,2021-12-24T00:00:00Z
christmas,covid,364,2021-12-24T00:00:00Z
united,airlines,362,2021-12-24T00:00:00Z
covid,issues,360,2021-12-24T00:00:00Z
covid,shots,360,2021-12-24T00:00:00Z
people,die,357,2021-12-24T00:00:00Z
robmeekel,ingersolrobert,356,2021-12-24T00:00:00Z
day,quarantine,355,2021-12-24T00:00:00Z
home,tests,351,2021-12-24T00:00:00Z
post,pandemic,351,2021-12-24T00:00:00Z
3,weeks,350,2021-12-24T00:00:00Z
christmas,plans,349,2021-12-24T00:00:00Z
covid,sucks,348,2021-12-24T00:00:00Z
800,000,347,2021-12-24T00:00:00Z
biden,administration,347,2021-12-24T00:00:00Z
19,protocols,346,2021-12-24T00:00:00Z
december,2021,346,2021-12-24T00:00:00Z
december,24,346,2021-12-24T00:00:00Z
12,2021,345,2021-12-24T00:00:00Z
vaccine,mandates,344,2021-12-24T00:00:00Z
negative,test,343,2021-12-24T00:00:00Z
24,2021,342,2021-12-24T00:00:00Z
postponed,due,341,2021-12-24T00:00:00Z
10,000,340,2021-12-24T00:00:00Z
100,000,340,2021-12-24T00:00:00Z
robmeekel,bolzmannmichael,340,2021-12-24T00:00:00Z
covid,spread,339,2021-12-24T00:00:00Z
people,died,336,2021-12-24T00:00:00Z
african,countries,335,2021-12-24T00:00:00Z
covid,don,333,2021-12-24T00:00:00Z
people,dying,333,2021-12-24T00:00:00Z
airlines,cancel,332,2021-12-24T00:00:00Z
covid19,pandemic,332,2021-12-24T00:00:00Z
covid,results,331,2021-12-24T00:00:00Z
death,toll,330,2021-12-24T00:00:00Z
covid,news,327,2021-12-24T00:00:00Z
covid,safe,327,2021-12-24T00:00:00Z
entire,pandemic,326,2021-12-24T00:00:00Z
health,issues,326,2021-12-24T00:00:00Z
ingersolrobert,crispycx,325,2021-12-24T00:00:00Z
test,result,324,2021-12-24T00:00:00Z
covid,relief,323,2021-12-24T00:00:00Z
anti,covid,322,2021-12-24T00:00:00Z
christmas,message,322,2021-12-24T00:00:00Z
flights,due,321,2021-12-24T00:00:00Z
front,line,321,2021-12-24T00:00:00Z
covid,exposure,319,2021-12-24T00:00:00Z
ingersolrobert,narvuntien,319,2021-12-24T00:00:00Z
covid,jab,318,2021-12-24T00:00:00Z
fake,covid,317,2021-12-24T00:00:00Z
pitt,anthony,316,2021-12-24T00:00:00Z
beat,covid,313,2021-12-24T00:00:00Z
makes,sense,313,2021-12-24T00:00:00Z
prevent,covid,313,2021-12-24T00:00:00Z
10,weeks,311,2021-12-24T00:00:00Z
19,patients,309,2021-12-24T00:00:00Z
covid,tested,308,2021-12-24T00:00:00Z
flights,cancelled,308,2021-12-24T00:00:00Z
12,24,307,2021-12-24T00:00:00Z
staffing,shortages,305,2021-12-24T00:00:00Z
19,won,304,2021-12-24T00:00:00Z
contracting,covid,304,2021-12-24T00:00:00Z
covid19,covid,302,2021-12-24T00:00:00Z
holiday,plans,302,2021-12-24T00:00:00Z
isolation,rules,302,2021-12-24T00:00:00Z
scienceblog3,4clearsky,301,2021-12-24T00:00:00Z
7,day,300,2021-12-24T00:00:00Z
jim,jordan,300,2021-12-24T00:00:00Z
god,bless,299,2021-12-24T00:00:00Z
19,update,298,2021-12-24T00:00:00Z
covid,times,297,2021-12-24T00:00:00Z
bts,suga,296,2021-12-24T00:00:00Z
2,months,294,2021-12-24T00:00:00Z
festive,season,293,2021-12-24T00:00:00Z
narvuntien,scienceblog3,293,2021-12-24T00:00:00Z
staying,home,293,2021-12-24T00:00:00Z
mild,covid,292,2021-12-24T00:00:00Z
covid,wave,291,2021-12-24T00:00:00Z
breakthrough,covid,290,2021-12-24T00:00:00Z
double,vaxxed,287,2021-12-24T00:00:00Z
positivity,rate,286,2021-12-24T00:00:00Z
quarantine,time,286,2021-12-24T00:00:00Z
vast,majority,285,2021-12-24T00:00:00Z
4,days,284,2021-12-24T00:00:00Z
cancelled,due,284,2021-12-24T00:00:00Z
lockdown,restrictions,284,2021-12-24T00:00:00Z
covid,negative,282,2021-12-24T00:00:00Z
healthy,people,281,2021-12-24T00:00:00Z
travel,restrictions,281,2021-12-24T00:00:00Z
covid,rapid,280,2021-12-24T00:00:00Z
president,biden,280,2021-12-24T00:00:00Z
isolation,period,279,2021-12-24T00:00:00Z
rising,covid,279,2021-12-24T00:00:00Z
severe,disease,279,2021-12-24T00:00:00Z
york,times,279,2021-12-24T00:00:00Z
nhs,staff,277,2021-12-24T00:00:00Z
bubbasranch,91996340e81d45a,275,2021-12-24T00:00:00Z
testing,site,274,2021-12-24T00:00:00Z
triple,vaxxed,274,2021-12-24T00:00:00Z
flights,canceled,271,2021-12-24T00:00:00Z
runny,nose,270,2021-12-24T00:00:00Z
19,deaths,269,2021-12-24T00:00:00Z
nasser,mohammed,269,2021-12-24T00:00:00Z
vaccine,doesn,269,2021-12-24T00:00:00Z
covid,treatment,268,2021-12-24T00:00:00Z
hawaii,bowl,268,2021-12-24T00:00:00Z
contract,covid,267,2021-12-24T00:00:00Z
mohammed,al,267,2021-12-24T00:00:00Z
al,yamani,266,2021-12-24T00:00:00Z
family,christmas,265,2021-12-24T00:00:00Z
past,2,265,2021-12-24T00:00:00Z
stay,healthy,265,2021-12-24T00:00:00Z
mask,mandates,264,2021-12-24T00:00:00Z
vaccination,status,264,2021-12-24T00:00:00Z
unemployment,fraud,262,2021-12-24T00:00:00Z
covid,merry,261,2021-12-24T00:00:00Z
covid,treatments,261,2021-12-24T00:00:00Z
suga,tested,260,2021-12-24T00:00:00Z
fraudulent,applications,259,2021-12-24T00:00:00Z
227,736,258,2021-12-24T00:00:00Z
903,688,258,2021-12-24T00:00:00Z
covid,lockdown,258,2021-12-24T00:00:00Z
dozen,fraudulent,258,2021-12-24T00:00:00Z
holiday,travel,258,2021-12-24T00:00:00Z
indictment,stated,258,2021-12-24T00:00:00Z
mcclain,caused,258,2021-12-24T00:00:00Z
covid,stay,257,2021-12-24T00:00:00Z
johndublin10,bigrakadoc,257,2021-12-24T00:00:00Z
2,2,256,2021-12-24T00:00:00Z
covid,data,255,2021-12-24T00:00:00Z
fear,mongering,254,2021-12-24T00:00:00Z
19,pill,253,2021-12-24T00:00:00Z
covid,im,253,2021-12-24T00:00:00Z
term,effects,253,2021-12-24T00:00:00Z
healthcare,system,252,2021-12-24T00:00:00Z
people,aren,252,2021-12-24T00:00:00Z
vaccine,mandate,251,2021-12-24T00:00:00Z
covid,didn,249,2021-12-24T00:00:00Z
fourth,covid,249,2021-12-24T00:00:00Z
imam,nasser,248,2021-12-24T00:00:00Z
royal,caribbean,248,2021-12-24T00:00:00Z
covid,people,247,2021-12-24T00:00:00Z
deadly,pandemic,247,2021-12-24T00:00:00Z
denise,dewald,247,2021-12-24T00:00:00Z
suga,tests,247,2021-12-24T00:00:00Z
2,000,246,2021-12-24T00:00:00Z
delta,variant,246,2021-12-24T00:00:00Z
fox,news,246,2021-12-24T00:00:00Z
mask,mandate,246,2021-12-24T00:00:00Z
cbc,news,245,2021-12-24T00:00:00Z
covid,pass,244,2021-12-24T00:00:00Z
covid19,coronavirus,244,2021-12-24T00:00:00Z
hope,yoongi,244,2021-12-24T00:00:00Z
