word1,n,date
term,1669,2021-09-04T00:00:00Z
measures,1667,2021-09-04T00:00:00Z
hear,1660,2021-09-04T00:00:00Z
vaccinations,1660,2021-09-04T00:00:00Z
natural,1651,2021-09-04T00:00:00Z
talk,1648,2021-09-04T00:00:00Z
party,1627,2021-09-04T00:00:00Z
fine,1626,2021-09-04T00:00:00Z
rest,1619,2021-09-04T00:00:00Z
scientists,1615,2021-09-04T00:00:00Z
variants,1614,2021-09-04T00:00:00Z
top,1611,2021-09-04T00:00:00Z
increase,1610,2021-09-04T00:00:00Z
dewormer,1584,2021-09-04T00:00:00Z
question,1581,2021-09-04T00:00:00Z
sad,1572,2021-09-04T00:00:00Z
killed,1571,2021-09-04T00:00:00Z
mu,1571,2021-09-04T00:00:00Z
agree,1569,2021-09-04T00:00:00Z
approved,1561,2021-09-04T00:00:00Z
hell,1553,2021-09-04T00:00:00Z
caught,1552,2021-09-04T00:00:00Z
double,1543,2021-09-04T00:00:00Z
election,1540,2021-09-04T00:00:00Z
deadly,1525,2021-09-04T00:00:00Z
federal,1525,2021-09-04T00:00:00Z
experts,1522,2021-09-04T00:00:00Z
america,1518,2021-09-04T00:00:00Z
update,1513,2021-09-04T00:00:00Z
rights,1512,2021-09-04T00:00:00Z
bit,1510,2021-09-04T00:00:00Z
set,1508,2021-09-04T00:00:00Z
happening,1505,2021-09-04T00:00:00Z
mandates,1499,2021-09-04T00:00:00Z
thinking,1496,2021-09-04T00:00:00Z
deal,1493,2021-09-04T00:00:00Z
jabs,1485,2021-09-04T00:00:00Z
couldnt,1479,2021-09-04T00:00:00Z
outbreak,1479,2021-09-04T00:00:00Z
vote,1479,2021-09-04T00:00:00Z
labor,1477,2021-09-04T00:00:00Z
weve,1475,2021-09-04T00:00:00Z
women,1469,2021-09-04T00:00:00Z
mandate,1468,2021-09-04T00:00:00Z
israel,1466,2021-09-04T00:00:00Z
entire,1464,2021-09-04T00:00:00Z
recovery,1460,2021-09-04T00:00:00Z
student,1454,2021-09-04T00:00:00Z
de,1444,2021-09-04T00:00:00Z
military,1441,2021-09-04T00:00:00Z
imagine,1438,2021-09-04T00:00:00Z
sept,1438,2021-09-04T00:00:00Z
city,1437,2021-09-04T00:00:00Z
absolutely,1436,2021-09-04T00:00:00Z
millions,1436,2021-09-04T00:00:00Z
impact,1435,2021-09-04T00:00:00Z
play,1434,2021-09-04T00:00:00Z
guy,1432,2021-09-04T00:00:00Z
matter,1430,2021-09-04T00:00:00Z
confirmed,1428,2021-09-04T00:00:00Z
rogan,1425,2021-09-04T00:00:00Z
policy,1424,2021-09-04T00:00:00Z
list,1423,2021-09-04T00:00:00Z
blame,1416,2021-09-04T00:00:00Z
dangerous,1414,2021-09-04T00:00:00Z
idea,1414,2021-09-04T00:00:00Z
prayers,1413,2021-09-04T00:00:00Z
south,1409,2021-09-04T00:00:00Z
heard,1408,2021-09-04T00:00:00Z
antibodies,1407,2021-09-04T00:00:00Z
future,1407,2021-09-04T00:00:00Z
saturday,1404,2021-09-04T00:00:00Z
caused,1403,2021-09-04T00:00:00Z
contact,1400,2021-09-04T00:00:00Z
related,1399,2021-09-04T00:00:00Z
studies,1396,2021-09-04T00:00:00Z
police,1394,2021-09-04T00:00:00Z
proof,1394,2021-09-04T00:00:00Z
officials,1393,2021-09-04T00:00:00Z
video,1392,2021-09-04T00:00:00Z
citizens,1385,2021-09-04T00:00:00Z
information,1385,2021-09-04T00:00:00Z
leave,1385,2021-09-04T00:00:00Z
thousands,1384,2021-09-04T00:00:00Z
line,1377,2021-09-04T00:00:00Z
single,1376,2021-09-04T00:00:00Z
hate,1368,2021-09-04T00:00:00Z
union,1365,2021-09-04T00:00:00Z
common,1364,2021-09-04T00:00:00Z
shes,1364,2021-09-04T00:00:00Z
run,1356,2021-09-04T00:00:00Z
huge,1352,2021-09-04T00:00:00Z
learn,1351,2021-09-04T00:00:00Z
pm,1347,2021-09-04T00:00:00Z
folks,1345,2021-09-04T00:00:00Z
feeling,1344,2021-09-04T00:00:00Z
mental,1344,2021-09-04T00:00:00Z
mind,1334,2021-09-04T00:00:00Z
amid,1327,2021-09-04T00:00:00Z
dad,1327,2021-09-04T00:00:00Z
damn,1327,2021-09-04T00:00:00Z
benefits,1323,2021-09-04T00:00:00Z
passports,1323,2021-09-04T00:00:00Z
based,1319,2021-09-04T00:00:00Z
giving,1317,2021-09-04T00:00:00Z
emergency,1314,2021-09-04T00:00:00Z
guys,1313,2021-09-04T00:00:00Z
lack,1313,2021-09-04T00:00:00Z
return,1307,2021-09-04T00:00:00Z
brexit,1305,2021-09-04T00:00:00Z
rise,1295,2021-09-04T00:00:00Z
gop,1288,2021-09-04T00:00:00Z
illness,1288,2021-09-04T00:00:00Z
stuff,1288,2021-09-04T00:00:00Z
head,1284,2021-09-04T00:00:00Z
results,1278,2021-09-04T00:00:00Z
fake,1275,2021-09-04T00:00:00Z
wuhan,1275,2021-09-04T00:00:00Z
level,1273,2021-09-04T00:00:00Z
watching,1273,2021-09-04T00:00:00Z
finally,1272,2021-09-04T00:00:00Z
decision,1271,2021-09-04T00:00:00Z
nurses,1271,2021-09-04T00:00:00Z
usa,1271,2021-09-04T00:00:00Z
fighting,1267,2021-09-04T00:00:00Z
conditions,1266,2021-09-04T00:00:00Z
cancer,1264,2021-09-04T00:00:00Z
result,1259,2021-09-04T00:00:00Z
office,1258,2021-09-04T00:00:00Z
poor,1256,2021-09-04T00:00:00Z
personal,1255,2021-09-04T00:00:00Z
principal,1255,2021-09-04T00:00:00Z
14,1254,2021-09-04T00:00:00Z
trust,1253,2021-09-04T00:00:00Z
closed,1246,2021-09-04T00:00:00Z
crazy,1243,2021-09-04T00:00:00Z
completely,1240,2021-09-04T00:00:00Z
families,1240,2021-09-04T00:00:00Z
30,1239,2021-09-04T00:00:00Z
twitter,1238,2021-09-04T00:00:00Z
misinformation,1236,2021-09-04T00:00:00Z
recovered,1236,2021-09-04T00:00:00Z
fun,1233,2021-09-04T00:00:00Z
education,1231,2021-09-04T00:00:00Z
mom,1229,2021-09-04T00:00:00Z
act,1228,2021-09-04T00:00:00Z
cold,1227,2021-09-04T00:00:00Z
experience,1218,2021-09-04T00:00:00Z
super,1217,2021-09-04T00:00:00Z
dies,1216,2021-09-04T00:00:00Z
humans,1216,2021-09-04T00:00:00Z
measure,1216,2021-09-04T00:00:00Z
beds,1215,2021-09-04T00:00:00Z
american,1211,2021-09-04T00:00:00Z
leader,1207,2021-09-04T00:00:00Z
