word1,n,date
pretty,532,2020-01-23T00:00:00Z
cancelled,530,2020-01-23T00:00:00Z
epicenter,530,2020-01-23T00:00:00Z
foreign,528,2020-01-23T00:00:00Z
twitter,528,2020-01-23T00:00:00Z
decision,527,2020-01-23T00:00:00Z
fucking,527,2020-01-23T00:00:00Z
tests,527,2020-01-23T00:00:00Z
22,525,2020-01-23T00:00:00Z
reason,524,2020-01-23T00:00:00Z
snake,524,2020-01-23T00:00:00Z
movie,522,2020-01-23T00:00:00Z
vaccines,522,2020-01-23T00:00:00Z
wuhanoutbreak,520,2020-01-23T00:00:00Z
change,519,2020-01-23T00:00:00Z
500,517,2020-01-23T00:00:00Z
mainland,517,2020-01-23T00:00:00Z
macau,515,2020-01-23T00:00:00Z
plan,515,2020-01-23T00:00:00Z
😷,512,2020-01-23T00:00:00Z
begins,512,2020-01-23T00:00:00Z
happening,512,2020-01-23T00:00:00Z
left,510,2020-01-23T00:00:00Z
recent,508,2020-01-23T00:00:00Z
issue,506,2020-01-23T00:00:00Z
announces,504,2020-01-23T00:00:00Z
heathrow,504,2020-01-23T00:00:00Z
rapidly,504,2020-01-23T00:00:00Z
commission,503,2020-01-23T00:00:00Z
contagious,503,2020-01-23T00:00:00Z
cut,502,2020-01-23T00:00:00Z
reporting,502,2020-01-23T00:00:00Z
friends,501,2020-01-23T00:00:00Z
mexico,501,2020-01-23T00:00:00Z
team,501,2020-01-23T00:00:00Z
cover,500,2020-01-23T00:00:00Z
released,500,2020-01-23T00:00:00Z
fight,499,2020-01-23T00:00:00Z
7,497,2020-01-23T00:00:00Z
oil,497,2020-01-23T00:00:00Z
american,495,2020-01-23T00:00:00Z
online,495,2020-01-23T00:00:00Z
saudi,495,2020-01-23T00:00:00Z
advisory,494,2020-01-23T00:00:00Z
apparently,494,2020-01-23T00:00:00Z
spanish,494,2020-01-23T00:00:00Z
discovered,492,2020-01-23T00:00:00Z
hand,489,2020-01-23T00:00:00Z
history,488,2020-01-23T00:00:00Z
drink,486,2020-01-23T00:00:00Z
100,485,2020-01-23T00:00:00Z
believed,485,2020-01-23T00:00:00Z
love,485,2020-01-23T00:00:00Z
cebu,484,2020-01-23T00:00:00Z
borders,483,2020-01-23T00:00:00Z
tourists,483,2020-01-23T00:00:00Z
original,478,2020-01-23T00:00:00Z
related,476,2020-01-23T00:00:00Z
videos,476,2020-01-23T00:00:00Z
social,474,2020-01-23T00:00:00Z
warn,473,2020-01-23T00:00:00Z
attention,470,2020-01-23T00:00:00Z
